Unnamed: 0.1,Unnamed: 0,narrative,Broad_narrative,Topic,credible,logos,ethos,pathos,base,valid,source,source_2
0,0,Adopting the euro causes countries to lose their economic autonomy and leads to economic decline.,EU and Eurozone as a source of impoverishment for its Member States,Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://www.vesti.bg/bulgaria/zashto-ne-triabva-da-priemame-evroto-6073899,
1,1,"Joining the Eurozone provides countries with economic stability, easier trade within the EU, and can attract investment, while member states retain autonomy in many aspects of economic policy. ",EU and Eurozone as a source of impoverishment for its Member States,Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://european-union.europa.eu/institutions-law-budget/euro/benefits_en,https://esthinktank.com/2023/04/21/evaluating-the-expansion-of-the-eurozone/
2,2,"Analysis of GDP trends in countries that adopted the euro, such as Greece and Italy, demonstrates a statistical correlation between euro adoption and subsequent economic downturns. By focusing on these examples, we observe a clear pattern where relinquishing national currency correlates with diminished economic control and leads to economic instability.",EU and Eurozone as a source of impoverishment for its Member States,Anti-Europeanism and anti-Atlanticism,False,True,False,False,False,True,https://www.vesti.bg/bulgaria/zashto-ne-triabva-da-priemame-evroto-6073899,
3,4,"Adopting the euro strips nations of their sacred economic self-determination, catalyzing a descent into inevitable financial ruin.",EU and Eurozone as a source of impoverishment for its Member States,Anti-Europeanism and anti-Atlanticism,False,False,False,True,False,True,https://www.vesti.bg/bulgaria/zashto-ne-triabva-da-priemame-evroto-6073899,
4,5,"Nobel Laureate Joseph Stiglitz has expressed concerns that the euro restricts economic policy options for member states, suggesting that countries lose economic autonomy upon adopting the euro. Moreover, the International Monetary Fund has documented persistent economic struggles in countries post-euro adoption, indicating a trend towards economic decline.",EU and Eurozone as a source of impoverishment for its Member States,Anti-Europeanism and anti-Atlanticism,False,False,True,False,False,True,https://www.vesti.bg/bulgaria/zashto-ne-triabva-da-priemame-evroto-6073899,
5,7," The euro favors strong economies like Germany at the expense of weaker ones, leading to increased inequality within the EU. ",EU and Eurozone as a source of impoverishment for its Member States,Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://www.vesti.bg/bulgaria/zashto-ne-triabva-da-priemame-evroto-6073899,
6,8," The Eurozone has mechanisms, such as the European Stability Mechanism, aimed at reducing inequalities and supporting economies facing difficulties. ",EU and Eurozone as a source of impoverishment for its Member States,Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://www.esm.europa.eu/how-we-work,https://www.esm.europa.eu/content/what-esm
7,9,Countries outside the Eurozone recovered from the financial crisis faster because they could devalue their currencies.,EU and Eurozone as a source of impoverishment for its Member States,Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://www.vesti.bg/bulgaria/zashto-ne-triabva-da-priemame-evroto-6073899,
8,10," Recovery from financial crises depends on a range of factors, including structural reforms and fiscal policies, not solely on currency flexibility. ",EU and Eurozone as a source of impoverishment for its Member States,Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://documents1.worldbank.org/curated/en/306631468780599186/pdf/wps3377.pdf,https://www.oecd-ilibrary.org/sites/92b58feb-en/index.html?itemId=/content/component/92b58feb-en
9,11," The euro and Eurozone policies have been a failure, leading to increased economic disparities and hardships for member countries. ",EU and Eurozone as a source of impoverishment for its Member States,Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://www.vesti.bg/bulgaria/zashto-ne-triabva-da-priemame-evroto-6073899,
10,12," The Eurozone provides a framework for economic and monetary stability in Europe, fostering closer cooperation among member states and has been a key factor in the economic development of its members. ",EU and Eurozone as a source of impoverishment for its Member States,Anti-Europeanism and anti-Atlanticism,True,False,False,False,True,True,https://www.ecb.europa.eu/press/key/date/2023/html/ecb.sp231113~c3716415a6.en.html,https://www.europarl.europa.eu/factsheets/en/sheet/87/economic-governance
11,13,"Historical data reveal that several countries within the Eurozone, notably Greece and Spain, have experienced increased unemployment and economic instability post their Euro adoption, contrary to the stability predictions made pre-adoption. While the Eurozone pledges economic unity and prosperity, its disparate impacts suggest a complex and troubling reality far from its initial goals.",EU and Eurozone as a source of impoverishment for its Member States,Anti-Europeanism and anti-Atlanticism,False,True,False,False,False,True,https://www.vesti.bg/bulgaria/zashto-ne-triabva-da-priemame-evroto-6073899,
12,15,"The euro and Eurozone policies have woven a web of despair, entangling member countries in economic disparities and hardships, painting a landscape where prosperity fades like a distant dream.",EU and Eurozone as a source of impoverishment for its Member States,Anti-Europeanism and anti-Atlanticism,False,False,False,True,False,True,https://www.vesti.bg/bulgaria/zashto-ne-triabva-da-priemame-evroto-6073899,
13,16,"Nobel laureate Joseph Stiglitz has repeatedly criticized the Eurozone for its 'flawed economics,' pointing out that instead of enhancing prosperity, it sometimes exacerbates disparities (Stiglitz, J., 2016, ""The Euro: How a Common Currency Threatens the Future of Europe""). The International Monetary Fund has also implied concerns, indicating that the strict austerity policies have led to economic hardships in various member countries (IMF Reports, 2012-2021).",EU and Eurozone as a source of impoverishment for its Member States,Anti-Europeanism and anti-Atlanticism,False,False,True,False,False,True,https://www.vesti.bg/bulgaria/zashto-ne-triabva-da-priemame-evroto-6073899,
14,17,"The Eurozone stands as a bastion of economic stability and unity, guiding its member states toward shared prosperity and deeper cooperation, much as a lighthouse steadfastly guides ships through tumultuous waters to safe harbors.",EU and Eurozone as a source of impoverishment for its Member States,Anti-Europeanism and anti-Atlanticism,True,False,False,True,False,True,https://www.ecb.europa.eu/press/key/date/2023/html/ecb.sp231113~c3716415a6.en.html,https://www.europarl.europa.eu/factsheets/en/sheet/87/economic-governance
15,19,Countries aiming to join the Eurozone are putting themselves at risk of economic stagnation and increased debt.,EU and Eurozone as a source of impoverishment for its Member States,Anti-Europeanism and anti-Atlanticism,False,False,False,False,True,True,https://www.vesti.bg/bulgaria/zashto-ne-triabva-da-priemame-evroto-6073899,
